country,year,sex,age,suicides_no,population,rate
Czech Republic,2011,male,25-34 years,173,818695,21.13119049
Czech Republic,2011,male,35-54 years,500,1517715,32.9442616
Czech Republic,2011,male,5-14 years,2,483911,0.41329914
Czech Republic,2011,male,55-74 years,424,1152114,36.8019137
Czech Republic,2011,male,75+ years,118,246004,47.96669973
Czech Republic,2012,female,15-24 years,10,581629,1.719309044
Czech Republic,2012,female,25-34 years,22,750032,2.933208183
Czech Republic,2012,female,35-54 years,94,1471892,6.386338128
Czech Republic,2012,female,5-14 years,1,468843,0.213291016
Czech Republic,2012,female,55-74 years,106,1333013,7.951910446
Czech Republic,2012,female,75+ years,45,456859,9.849866151
Czech Republic,2012,male,15-24 years,84,609704,13.77717712
Czech Republic,2012,male,25-34 years,179,796162,22.48286153
Czech Republic,2012,male,35-54 years,538,1537251,34.99753781
Czech Republic,2012,male,5-14 years,3,495721,0.605179123
Czech Republic,2012,male,55-74 years,430,1173069,36.65598528
Czech Republic,2012,male,75+ years,146,248952,58.64584338
Czech Republic,2013,female,15-24 years,15,560391,2.676702517
Czech Republic,2013,female,25-34 years,30,729365,4.113166933
Czech Republic,2013,female,35-54 years,108,1488299,7.256606367
Czech Republic,2013,female,5-14 years,2,483804,0.413390547
Czech Republic,2013,female,55-74 years,92,1347862,6.825624582
Czech Republic,2013,female,75+ years,36,459282,7.838321554
Czech Republic,2013,male,15-24 years,108,586871,18.40268134
Czech Republic,2013,male,25-34 years,168,773130,21.72985138
Czech Republic,2013,male,35-54 years,485,1556338,31.16289649
Czech Republic,2013,male,5-14 years,5,510895,0.978674679
Czech Republic,2013,male,55-74 years,399,1188011,33.58554761
Czech Republic,2013,male,75+ years,129,252532,51.08263507
Czech Republic,2014,female,15-24 years,11,540106,2.036637253
Czech Republic,2014,female,25-34 years,26,711374,3.65489883
Czech Republic,2014,female,35-54 years,94,1509758,6.226163398
Czech Republic,2014,female,5-14 years,1,500027,0.199989201
Czech Republic,2014,female,55-74 years,107,1356408,7.888481932
Czech Republic,2014,female,75+ years,54,464061,11.63640125
Czech Republic,2014,male,15-24 years,84,565782,14.84670774
Czech Republic,2014,male,25-34 years,157,752372,20.8673369
Czech Republic,2014,male,35-54 years,467,1580637,29.54505051
Czech Republic,2014,male,5-14 years,1,527532,0.18956196
Czech Republic,2014,male,55-74 years,364,1197687,30.39191375
Czech Republic,2014,male,75+ years,123,257383,47.78870399
Czech Republic,2015,female,15-24 years,19,521060,3.646413081
Czech Republic,2015,female,25-34 years,20,698584,2.862934164
Czech Republic,2015,female,35-54 years,86,1528289,5.627207943
Czech Republic,2015,female,5-14 years,5,515457,0.970013018
Czech Republic,2015,female,55-74 years,80,1358421,5.889190465
Czech Republic,2015,female,75+ years,44,471092,9.340001528
Czech Republic,2015,male,15-24 years,58,546597,10.61110837
Czech Republic,2015,male,25-34 years,151,737221,20.48232484
Czech Republic,2015,male,35-54 years,404,1602521,25.21027806
Czech Republic,2015,male,5-14 years,2,543129,0.368236644
Czech Republic,2015,male,55-74 years,373,1202553,31.01734393
Czech Republic,2015,male,75+ years,145,264401,54.84094236
Czech Republic,2016,female,15-24 years,22,502574,4.377464811
Czech Republic,2016,female,25-34 years,34,691963,4.913557517
Czech Republic,2016,female,35-54 years,91,1541109,5.904838658
Czech Republic,2016,female,5-14 years,0,527513,0
Czech Republic,2016,female,55-74 years,86,1358948,6.328424634
Czech Republic,2016,female,75+ years,25,480884,5.198758952
Czech Republic,2016,male,15-24 years,78,527890,14.77580557
Czech Republic,2016,male,25-34 years,137,729199,18.78773833
Czech Republic,2016,male,35-54 years,386,1617906,23.85799917
Czech Republic,2016,male,5-14 years,0,555376,0
Czech Republic,2016,male,55-74 years,319,1205832,26.45476318
Czech Republic,2016,male,75+ years,140,273637,51.16267171
Denmark,1979,female,15-24 years,,370100,0
Denmark,1979,female,25-34 years,,388900,0
Denmark,1979,female,35-54 years,,594900,0
Denmark,1979,female,5-14 years,,373200,0
Denmark,1979,female,55-74 years,,527700,0
Denmark,1979,female,75+ years,,175000,0
Denmark,1979,male,15-24 years,,387700,0
Denmark,1979,male,25-34 years,,409500,0
Denmark,1979,male,35-54 years,,598000,0
Denmark,1979,male,5-14 years,,391800,0
Denmark,1979,male,55-74 years,,465200,0
Denmark,1979,male,75+ years,,108100,0
Denmark,1980,female,15-24 years,,374700,0
Denmark,1980,female,25-34 years,,383900,0
Denmark,1980,female,35-54 years,,605500,0
Denmark,1980,female,5-14 years,,368200,0
Denmark,1980,female,55-74 years,,528400,0
Denmark,1980,female,75+ years,,180300,0
Denmark,1980,male,15-24 years,,392500,0
Denmark,1980,male,25-34 years,,403200,0
Denmark,1980,male,35-54 years,,611500,0
Denmark,1980,male,5-14 years,,386000,0
Denmark,1980,male,55-74 years,,465300,0
Denmark,1980,male,75+ years,,109500,0
Denmark,1981,female,15-24 years,,380000,0
Denmark,1981,female,25-34 years,,377200,0
Denmark,1981,female,35-54 years,,618000,0
Denmark,1981,female,5-14 years,,360100,0
Denmark,1981,female,55-74 years,,528400,0
Denmark,1981,female,75+ years,,185300,0
Denmark,1981,male,15-24 years,,397800,0
Denmark,1981,male,25-34 years,,395300,0
Denmark,1981,male,35-54 years,,626800,0
Denmark,1981,male,5-14 years,,377100,0
Denmark,1981,male,55-74 years,,464500,0
Denmark,1981,male,75+ years,,111000,0
Denmark,1982,female,15-24 years,,384400,0
Denmark,1982,female,25-34 years,,370500,0
Denmark,1982,female,35-54 years,,630800,0
Denmark,1982,female,5-14 years,,350100,0
Denmark,1982,female,55-74 years,,527300,0
Denmark,1982,female,75+ years,,190600,0
Denmark,1982,male,15-24 years,,402300,0
Denmark,1982,male,25-34 years,,387500,0
Denmark,1982,male,35-54 years,,642100,0
Denmark,1982,male,5-14 years,,366700,0
Denmark,1982,male,55-74 years,,463300,0
Denmark,1982,male,75+ years,,112800,0
Denmark,1983,female,15-24 years,,386100,0
Denmark,1983,female,25-34 years,,365700,0
Denmark,1983,female,35-54 years,,642400,0
Denmark,1983,female,5-14 years,,342800,0
Denmark,1983,female,55-74 years,,525100,0
Denmark,1983,female,75+ years,,196000,0
Denmark,1983,male,15-24 years,,404200,0
Denmark,1983,male,25-34 years,,382200,0
Denmark,1983,male,35-54 years,,655100,0
Denmark,1983,male,5-14 years,,358900,0
Denmark,1983,male,55-74 years,,461800,0
Denmark,1983,male,75+ years,,115000,0
Denmark,1984,female,15-24 years,,385800,0
Denmark,1984,female,25-34 years,,363300,0
Denmark,1984,female,35-54 years,,652100,0
Denmark,1984,female,5-14 years,,337400,0
Denmark,1984,female,55-74 years,,521800,0
Denmark,1984,female,75+ years,,201600,0
Denmark,1984,male,15-24 years,,404700,0
Denmark,1984,male,25-34 years,,379600,0
Denmark,1984,male,35-54 years,,666200,0
Denmark,1984,male,5-14 years,,352700,0
Denmark,1984,male,55-74 years,,459100,0
Denmark,1984,male,75+ years,,117400,0
Denmark,1985,female,15-24 years,,384700,0
Denmark,1985,female,25-34 years,,362600,0
Denmark,1985,female,35-54 years,,661100,0
Denmark,1985,female,5-14 years,,331700,0
Denmark,1985,female,55-74 years,,518200,0
Denmark,1985,female,75+ years,,206900,0
Denmark,1985,male,15-24 years,,404700,0
Denmark,1985,male,25-34 years,,380000,0
Denmark,1985,male,35-54 years,,676800,0
Denmark,1985,male,5-14 years,,346400,0
Denmark,1985,male,55-74 years,,455900,0
Denmark,1985,male,75+ years,,119900,0
Denmark,1986,female,15-24 years,,384400,0
Denmark,1986,female,25-34 years,,363500,0
Denmark,1986,female,35-54 years,,669700,0
Denmark,1986,female,5-14 years,,323800,0
Denmark,1986,female,55-74 years,,514700,0
Denmark,1986,female,75+ years,,211500,0
Denmark,1986,male,15-24 years,,406000,0
Denmark,1986,male,25-34 years,,382300,0
Denmark,1986,male,35-54 years,,686600,0
Denmark,1986,male,5-14 years,,337800,0
Denmark,1986,male,55-74 years,,452900,0
Denmark,1986,male,75+ years,,122200,0
Denmark,1987,female,15-24 years,,384600,0
Denmark,1987,female,25-34 years,,365400,0
Denmark,1987,female,35-54 years,,677900,0
Denmark,1987,female,5-14 years,,313900,0
Denmark,1987,female,55-74 years,,511000,0
Denmark,1987,female,75+ years,,216300,0
Denmark,1987,male,15-24 years,,406800,0
Denmark,1987,male,25-34 years,,384700,0
Denmark,1987,male,35-54 years,,696300,0
Denmark,1987,male,5-14 years,,327300,0
Denmark,1987,male,55-74 years,,449600,0
Denmark,1987,male,75+ years,,124800,0
Denmark,1988,female,15-24 years,,381900,0
Denmark,1988,female,25-34 years,,367600,0
Denmark,1988,female,35-54 years,,686700,0
Denmark,1988,female,5-14 years,,303900,0
Denmark,1988,female,55-74 years,,506900,0
Denmark,1988,female,75+ years,,220600,0
Denmark,1988,male,15-24 years,,403500,0
Denmark,1988,male,25-34 years,,387200,0
