country,year,sex,age,suicides_no,population,rate
Denmark,1999,female,25-34 years,21,392951,5.344177773
Denmark,1999,female,35-54 years,74,759458,9.743790967
Denmark,1999,female,5-14 years,0,307403,0
Denmark,1999,female,55-74 years,71,516749,13.73974599
Denmark,1999,female,75+ years,26,238400,10.90604027
Denmark,1999,male,15-24 years,40,319101,12.53521612
Denmark,1999,male,25-34 years,91,408827,22.25880385
Denmark,1999,male,35-54 years,214,783204,27.32366025
Denmark,1999,male,5-14 years,3,323638,0.926961605
Denmark,1999,male,55-74 years,151,480316,31.43763689
Denmark,1999,male,75+ years,64,137353,46.59526912
Denmark,2000,female,15-24 years,9,300690,2.993115834
Denmark,2000,female,25-34 years,16,389550,4.107303299
Denmark,2000,female,35-54 years,74,760859,9.725849336
Denmark,2000,female,5-14 years,0,315938,0
Denmark,2000,female,55-74 years,54,528095,10.22543292
Denmark,2000,female,75+ years,42,239483,17.5377793
Denmark,2000,male,15-24 years,39,310470,12.56160015
Denmark,2000,male,25-34 years,61,403105,15.13253371
Denmark,2000,male,35-54 years,218,783883,27.81027271
Denmark,2000,male,5-14 years,1,332762,0.300515083
Denmark,2000,male,55-74 years,142,495321,28.66827774
Denmark,2000,male,75+ years,72,138454,52.00283127
Denmark,2001,female,15-24 years,7,294773,2.374708674
Denmark,2001,female,25-34 years,9,383262,2.348263068
Denmark,2001,female,35-54 years,73,761705,9.583762743
Denmark,2001,female,5-14 years,0,322284,0
Denmark,2001,female,55-74 years,83,541963,15.3146986
Denmark,2001,female,75+ years,48,239716,20.02369471
Denmark,2001,male,15-24 years,38,304335,12.48624049
Denmark,2001,male,25-34 years,58,394591,14.69876404
Denmark,2001,male,35-54 years,204,783604,26.03355777
Denmark,2001,male,5-14 years,2,340220,0.587854917
Denmark,2001,male,55-74 years,123,512361,24.00651103
Denmark,2001,male,75+ years,82,139637,58.72369071
Denmark,2002,female,15-24 years,6,292727,2.049691351
Denmark,2002,female,25-34 years,11,374887,2.934217511
Denmark,2002,female,35-54 years,63,762841,8.258601727
Denmark,2002,female,5-14 years,0,328734,0
Denmark,2002,female,55-74 years,63,556057,11.32977375
Denmark,2002,female,75+ years,42,239014,17.57219242
Denmark,2002,male,15-24 years,40,302190,13.23670538
Denmark,2002,male,25-34 years,64,383869,16.67235437
Denmark,2002,male,35-54 years,182,784825,23.18988309
Denmark,2002,male,5-14 years,0,346889,0
Denmark,2002,male,55-74 years,140,528640,26.48305085
Denmark,2002,male,75+ years,77,140549,54.78516389
Denmark,2003,female,15-24 years,6,290582,2.064821634
Denmark,2003,female,25-34 years,19,369080,5.147935407
Denmark,2003,female,35-54 years,43,763110,5.634836393
Denmark,2003,female,5-14 years,0,332848,0
Denmark,2003,female,55-74 years,59,567852,10.39003121
Denmark,2003,female,75+ years,26,237848,10.93135111
Denmark,2003,male,15-24 years,24,300836,7.977768618
Denmark,2003,male,25-34 years,48,376343,12.75432252
