country,year,sex,age,suicides_no,population,rate,Region
Albania,2001,male,35-54 years,34,378826,8.975096746,Europe
Albania,2001,male,5-14 years,6,321556,1.86592693,Europe
Albania,2001,male,55-74 years,11,196670,5.59312554,Europe
Albania,2001,male,75+ years,1,31044,3.221234377,Europe
Albania,2002,female,15-24 years,14,275970,5.073015183,Europe
Albania,2002,female,25-34 years,7,223685,3.12940072,Europe
Albania,2002,female,35-54 years,15,375113,3.99879503,Europe
Albania,2002,female,5-14 years,1,304850,0.328030179,Europe
Albania,2002,female,55-74 years,4,191712,2.086463028,Europe
Albania,2002,female,75+ years,1,47407,2.109393128,Europe
Albania,2002,male,15-24 years,15,263067,5.70196946,Europe
Albania,2002,male,25-34 years,23,206286,11.14956904,Europe
Albania,2002,male,35-54 years,35,382139,9.15897095,Europe
Albania,2002,male,5-14 years,1,319473,0.313015497,Europe
Albania,2002,male,55-74 years,13,198130,6.561348609,Europe
Albania,2002,male,75+ years,4,31007,12.90031283,Europe
Albania,2003,female,15-24 years,14,283709,4.934633727,Europe
Albania,2003,female,25-34 years,9,222941,4.036942509,Europe
Albania,2003,female,35-54 years,13,381760,3.405280805,Europe
Albania,2003,female,5-14 years,0,298477,0,Europe
Albania,2003,female,55-74 years,9,195699,4.59889933,Europe
Albania,2003,female,75+ years,6,49088,12.22294654,Europe
Albania,2003,male,15-24 years,15,273235,5.48977986,Europe
Albania,2003,male,25-34 years,9,205433,4.380990396,Europe
Albania,2003,male,35-54 years,28,386196,7.250204559,Europe
Albania,2003,male,5-14 years,4,313204,1.277122898,Europe
Albania,2003,male,55-74 years,16,201520,7.939658595,Europe
Albania,2003,male,75+ years,1,32667,3.061193253,Europe
Albania,2004,female,15-24 years,20,292268,6.843034475,Europe
Albania,2004,female,25-34 years,11,222389,4.946287811,Europe
Albania,2004,female,35-54 years,17,391436,4.342983272,Europe
Albania,2004,female,5-14 years,3,286705,1.046371706,Europe
Albania,2004,female,55-74 years,3,203841,1.471735323,Europe
Albania,2004,female,75+ years,3,50970,5.885815185,Europe
Albania,2004,male,15-24 years,19,286768,6.625564917,Europe
Albania,2004,male,25-34 years,16,203938,7.845521678,Europe
Albania,2004,male,35-54 years,39,391767,9.954896661,Europe
Albania,2004,male,5-14 years,1,302181,0.33092749,Europe
Albania,2004,male,55-74 years,10,207202,4.826208241,Europe
Albania,2004,male,75+ years,4,35526,11.25935934,Europe
Albania,2005,female,15-24 years,0,281922,0,Europe
Albania,2005,female,25-34 years,0,190745,0,Europe
Albania,2005,female,35-54 years,0,386513,0,Europe
Albania,2005,female,5-14 years,0,276559,0,Europe
Albania,2005,female,55-74 years,0,210998,0,Europe
Albania,2005,female,75+ years,0,53191,0,Europe
Albania,2005,male,15-24 years,0,281675,0,Europe
Albania,2005,male,25-34 years,0,177519,0,Europe
Albania,2005,male,35-54 years,0,380242,0,Europe
Albania,2005,male,5-14 years,0,291367,0,Europe
Albania,2005,male,55-74 years,0,214118,0,Europe
Albania,2005,male,75+ years,0,38471,0,Europe
Albania,2006,female,15-24 years,0,283138,0,Europe
Albania,2006,female,25-34 years,0,186391,0,Europe
Albania,2006,female,35-54 years,0,388746,0,Europe
Albania,2006,female,5-14 years,0,267316,0,Europe
Albania,2006,female,55-74 years,0,215907,0,Europe
Albania,2006,female,75+ years,0,56011,0,Europe
Albania,2006,male,15-24 years,0,286679,0,Europe
Albania,2006,male,25-34 years,0,174092,0,Europe
Albania,2006,male,35-54 years,0,379076,0,Europe
Albania,2006,male,5-14 years,0,282678,0,Europe
Albania,2006,male,55-74 years,0,219360,0,Europe
Albania,2006,male,75+ years,0,40782,0,Europe
Albania,2007,female,15-24 years,13,281080,4.625017789,Europe
Albania,2007,female,25-34 years,8,183629,4.356610339,Europe
Albania,2007,female,35-54 years,14,391811,3.573151341,Europe
Albania,2007,female,5-14 years,0,256808,0,Europe
Albania,2007,female,55-74 years,9,221120,4.070188133,Europe
Albania,2007,female,75+ years,3,57404,5.226116647,Europe
Albania,2007,male,15-24 years,13,288349,4.508425554,Europe
Albania,2007,male,25-34 years,9,172494,5.217572785,Europe
Albania,2007,male,35-54 years,29,378626,7.659273267,Europe
Albania,2007,male,5-14 years,4,272497,1.467906069,Europe
Albania,2007,male,55-74 years,14,224160,6.245538901,Europe
Albania,2007,male,75+ years,8,42366,18.88306661,Europe
Albania,2008,female,15-24 years,20,276073,7.244460704,Europe
Albania,2008,female,25-34 years,9,182663,4.927106201,Europe
Albania,2008,female,35-54 years,19,393832,4.824392127,Europe
Albania,2008,female,5-14 years,1,246288,0.406028714,Europe
Albania,2008,female,55-74 years,7,226448,3.09121741,Europe
Albania,2008,female,75+ years,5,59369,8.421903687,Europe
Albania,2008,male,15-24 years,11,286702,3.836736402,Europe
Albania,2008,male,25-34 years,21,172855,12.14891094,Europe
Albania,2008,male,35-54 years,37,377119,9.811226695,Europe
Albania,2008,male,5-14 years,7,262464,2.667032431,Europe
Albania,2008,male,55-74 years,21,228672,9.183459278,Europe
Albania,2008,male,75+ years,2,44574,4.486920626,Europe
Albania,2009,female,15-24 years,0,270003,0,Europe
Albania,2009,female,25-34 years,0,182712,0,Europe
Albania,2009,female,35-54 years,0,394286,0,Europe
Albania,2009,female,5-14 years,0,236174,0,Europe
Albania,2009,female,55-74 years,0,233302,0,Europe
Albania,2009,female,75+ years,0,61582,0,Europe
Albania,2009,male,15-24 years,0,283448,0,Europe
Albania,2009,male,25-34 years,0,174955,0,Europe
Albania,2009,male,35-54 years,0,374365,0,Europe
Albania,2009,male,5-14 years,0,253007,0,Europe
Albania,2009,male,55-74 years,0,234570,0,Europe
Albania,2009,male,75+ years,0,47331,0,Europe
Albania,2010,female,15-24 years,6,263581,2.2763401,Europe
Albania,2010,female,25-34 years,6,183579,3.268347687,Europe
Albania,2010,female,35-54 years,12,394593,3.04110818,Europe
Albania,2010,female,5-14 years,2,223969,0.892980725,Europe
Albania,2010,female,55-74 years,7,241491,2.898658749,Europe
Albania,2010,female,75+ years,2,64415,3.104866879,Europe
Albania,2010,male,15-24 years,10,279508,3.577715128,Europe
Albania,2010,male,25-34 years,9,179720,5.007789895,Europe
Albania,2010,male,35-54 years,20,371611,5.381972008,Europe
Albania,2010,male,5-14 years,0,240939,0,Europe
Albania,2010,male,55-74 years,20,241852,8.269520202,Europe
Albania,2010,male,75+ years,2,50767,3.939567042,Europe
Antigua and Barbuda,1983,female,15-24 years,0,7882,0,Central America
Antigua and Barbuda,1983,female,25-34 years,0,6341,0,Central America
Antigua and Barbuda,1983,female,35-54 years,0,6284,0,Central America
Antigua and Barbuda,1983,female,5-14 years,0,8119,0,Central America
Antigua and Barbuda,1983,female,55-74 years,0,3729,0,Central America
Antigua and Barbuda,1983,female,75+ years,0,904,0,Central America
Antigua and Barbuda,1983,male,15-24 years,0,7932,0,Central America
Antigua and Barbuda,1983,male,25-34 years,0,6317,0,Central America
Antigua and Barbuda,1983,male,35-54 years,0,5929,0,Central America
Antigua and Barbuda,1983,male,5-14 years,0,8165,0,Central America
Antigua and Barbuda,1983,male,55-74 years,0,2700,0,Central America
Antigua and Barbuda,1983,male,75+ years,0,389,0,Central America
Antigua and Barbuda,1985,female,15-24 years,0,7709,0,Central America
Antigua and Barbuda,1985,female,25-34 years,0,6344,0,Central America
Antigua and Barbuda,1985,female,35-54 years,0,6173,0,Central America
Antigua and Barbuda,1985,female,5-14 years,0,7339,0,Central America
Antigua and Barbuda,1985,female,55-74 years,0,3778,0,Central America
Antigua and Barbuda,1985,female,75+ years,0,949,0,Central America
Antigua and Barbuda,1985,male,15-24 years,0,7667,0,Central America
Antigua and Barbuda,1985,male,25-34 years,0,6194,0,Central America
Antigua and Barbuda,1985,male,35-54 years,0,5970,0,Central America
Antigua and Barbuda,1985,male,5-14 years,0,7304,0,Central America
Antigua and Barbuda,1985,male,55-74 years,0,2723,0,Central America
Antigua and Barbuda,1985,male,75+ years,0,424,0,Central America
Antigua and Barbuda,1986,female,15-24 years,0,7668,0,Central America
Antigua and Barbuda,1986,female,25-34 years,0,6209,0,Central America
Antigua and Barbuda,1986,female,35-54 years,0,6101,0,Central America
Antigua and Barbuda,1986,female,5-14 years,0,6907,0,Central America
Antigua and Barbuda,1986,female,55-74 years,0,3764,0,Central America
Antigua and Barbuda,1986,female,75+ years,0,1014,0,Central America
Antigua and Barbuda,1986,male,15-24 years,0,7563,0,Central America
Antigua and Barbuda,1986,male,25-34 years,0,6023,0,Central America
Antigua and Barbuda,1986,male,35-54 years,0,5947,0,Central America
Antigua and Barbuda,1986,male,5-14 years,0,6827,0,Central America
Antigua and Barbuda,1986,male,55-74 years,0,2771,0,Central America
Antigua and Barbuda,1986,male,75+ years,0,476,0,Central America
Antigua and Barbuda,1987,female,15-24 years,0,7583,0,Central America
Antigua and Barbuda,1987,female,25-34 years,0,6101,0,Central America
Antigua and Barbuda,1987,female,35-54 years,0,6059,0,Central America
Antigua and Barbuda,1987,female,5-14 years,0,6623,0,Central America
Antigua and Barbuda,1987,female,55-74 years,0,3738,0,Central America
